,price_eur_mwh,temperature_2m,wind_speed_10m,precipitation_mm,solar_radiation_W
2023-01-03 16:00:00+01:00,166.61,1.7251892,2.196549,0.015344847,6.4282446
2023-01-03 17:00:00+01:00,170.72,1.7081909,2.657705,0.027054626,0.0
2023-01-03 18:00:00+01:00,168.93,1.7184143,3.1728306,0.06560014,0.0
2023-01-03 19:00:00+01:00,160.99,1.7630005,3.7892044,0.17772697,0.0
2023-01-03 20:00:00+01:00,149.62,1.9778137,4.4074697,0.16082467,0.0
2023-01-03 21:00:00+01:00,132.5,2.0567627,5.073481,0.2792254,0.0
2023-01-03 22:00:00+01:00,120.64,2.19281,5.750866,0.42566618,0.0
2023-01-03 23:00:00+01:00,100.37,2.3480225,6.707872,0.6095676,0.0
2023-01-04 00:00:00+01:00,92.56,2.301361,6.745213,0.8021252,0.0
2023-01-04 01:00:00+01:00,84.93,2.3613892,7.2592807,0.94201875,0.0
2023-01-04 02:00:00+01:00,69.93,2.3645325,7.675253,1.0567876,0.0
2023-01-04 03:00:00+01:00,69.26,2.5394897,8.037459,1.1864716,0.0
2023-01-04 04:00:00+01:00,71.75,2.4970398,8.189303,1.4301515,0.0
2023-01-04 05:00:00+01:00,81.73,2.4962769,8.259092,1.6812766,0.0
2023-01-04 06:00:00+01:00,87.44,2.5001526,8.30844,1.9689996,0.0
2023-01-04 07:00:00+01:00,105.06,2.4838562,8.29542,2.3013668,0.0
2023-01-04 08:00:00+01:00,114.96,2.337799,8.232629,1.9828765,0.0
2023-01-04 09:00:00+01:00,125.45,2.1813965,8.03322,2.1688552,0.0
2023-01-04 10:00:00+01:00,126.99,2.0156555,7.7742248,2.1808984,0.9884066
2023-01-04 11:00:00+01:00,126.35,1.7129517,6.8047824,1.7068205,9.599485
2023-01-04 12:00:00+01:00,123.78,1.4765625,6.1256437,1.350101,15.672791
2023-01-04 13:00:00+01:00,121.81,1.3329773,5.939879,0.97687775,25.876953
2023-01-04 14:00:00+01:00,120.4,1.0980835,6.2571335,0.809675,20.294762
2023-01-04 15:00:00+01:00,123.89,0.78549194,6.9795284,0.78192616,10.274428
2023-01-04 16:00:00+01:00,127.05,0.42745972,7.6717963,0.80318046,2.3002446
2023-01-04 17:00:00+01:00,127.14,0.06161499,8.212723,0.8172564,0.0
2023-01-04 18:00:00+01:00,126.19,-0.2835083,8.301057,0.7548694,0.0
2023-01-04 19:00:00+01:00,123.72,-0.5476074,8.195847,0.6456293,0.0
2023-01-04 20:00:00+01:00,120.11,-0.80337524,8.1115,0.5315328,0.0
2023-01-04 21:00:00+01:00,121.83,-0.94766235,8.274302,0.4294196,0.0
2023-01-04 22:00:00+01:00,115.64,-0.9755249,8.240123,0.2984542,0.0
2023-01-04 23:00:00+01:00,109.95,-0.8760376,7.380997,0.20756176,0.0
2023-01-05 00:00:00+01:00,101.28,-0.82333374,7.0248537,0.14601834,0.0
2023-01-05 01:00:00+01:00,96.94,-0.77996826,6.8020377,0.09879126,0.0
2023-01-05 02:00:00+01:00,96.24,-0.8178406,6.383422,0.08307448,0.0
2023-01-05 03:00:00+01:00,90.12,-0.8079529,5.775743,0.07426878,0.0
